,name,month,pr,pr,pr
,,,sum,mean,max
234,Ningxia,June,15.337454,2.5562422,2.8973541
235,Ningxia,March,4.3680477,0.728008,1.2009841
236,Ningxia,May,5.54615,0.92435837,1.2423316
237,Ningxia,November,3.4262972,0.5710495,1.0334077
238,Ningxia,October,8.412392,1.4020653,1.5789058
239,Ningxia,September,13.256958,2.209493,2.918489
240,Qinghai,April,193.8274,1.7620672,3.368854
241,Qinghai,August,431.02527,3.9184115,5.954389
242,Qinghai,December,7.3574057,0.06688551,0.34093955
243,Qinghai,February,31.943144,0.29039222,1.0240277
244,Qinghai,January,19.45229,0.176839,0.53628147
245,Qinghai,July,400.67056,3.6424596,6.093643
246,Qinghai,June,280.8943,2.5535843,5.4076195
247,Qinghai,March,127.189545,1.1562686,2.5744145
248,Qinghai,May,258.6185,2.3510773,4.4870396
249,Qinghai,November,45.136414,0.41033104,1.1361074
250,Qinghai,October,100.40476,0.91277057,2.2948596
251,Qinghai,September,429.8499,3.9077265,7.342348
252,Shaanxi,April,66.385414,2.0745442,3.784249
253,Shaanxi,August,206.58983,6.455932,9.5804205
254,Shaanxi,December,8.9316,0.2791125,0.6627765
255,Shaanxi,February,20.713593,0.64729977,1.3430138
256,Shaanxi,January,10.172739,0.3178981,0.6982811
257,Shaanxi,July,107.73909,3.3668466,6.5748835
258,Shaanxi,June,85.75346,2.6797957,4.0198617
259,Shaanxi,March,53.30361,1.6657379,2.5848415
260,Shaanxi,May,61.24521,1.9139128,3.706693
261,Shaanxi,November,53.26451,1.664516,2.480443
262,Shaanxi,October,76.993515,2.4060473,4.609602
263,Shaanxi,September,186.44247,5.8263273,10.906334
264,Shandong,April,28.752478,1.1058645,2.2174764
265,Shandong,August,79.868645,3.071871,4.5055175
266,Shandong,December,10.40455,0.40017498,0.9607381
267,Shandong,February,5.5650144,0.21403901,0.8286908
268,Shandong,January,13.685696,0.5263729,0.867823
269,Shandong,July,128.97125,4.960433,7.9550753
270,Shandong,June,119.89764,4.6114473,6.229517
271,Shandong,March,28.191977,1.0843068,1.781577
272,Shandong,May,60.642136,2.3323898,4.3422184
273,Shandong,November,58.03797,2.2322297,3.1168227
274,Shandong,October,39.351383,1.5135148,1.987463
275,Shandong,September,7.538385,0.28993788,1.1736186
276,Shanxi,April,32.89412,1.2651584,2.0622184
277,Shanxi,August,183.88554,7.0725207,8.890746
278,Shanxi,December,3.5185578,0.13532914,0.34454092
279,Shanxi,February,4.757393,0.18297665,0.7145134
280,Shanxi,January,4.7177057,0.18145022,0.38439265
281,Shanxi,July,52.302998,2.0116537,3.2198257
282,Shanxi,June,107.10451,4.1194043,5.5692625
283,Shanxi,March,19.216934,0.73911285,1.8255184
284,Shanxi,May,29.226582,1.1240993,1.7211083
285,Shanxi,November,47.523094,1.8278114,2.5360074
286,Shanxi,October,31.515093,1.212119,2.0082493
287,Shanxi,September,29.86751,1.1487504,2.0451972
288,Sichuan,April,346.0215,4.3252687,9.701532
289,Sichuan,August,753.71716,9.421465,18.778505
290,Sichuan,December,75.32378,0.9415472,3.1551301
291,Sichuan,February,120.37088,1.504636,5.2038064
292,Sichuan,January,67.712006,0.8464001,2.7108457
293,Sichuan,July,556.75433,6.9594293,15.4882145
294,Sichuan,June,603.468,7.54335,15.915056
295,Sichuan,March,210.88617,2.6360772,7.2109404
296,Sichuan,May,480.48862,6.006108,11.755659
297,Sichuan,November,130.41988,1.6302484,5.231994
298,Sichuan,October,360.58505,4.5073133,10.29269
299,Sichuan,September,690.31665,8.628958,15.847057
300,Tianjin,April,2.613948,1.306974,1.306974
301,Tianjin,August,8.998969,4.4994845,4.4994845
302,Tianjin,December,0.21731336,0.10865668,0.10865668
303,Tianjin,February,0.088630676,0.044315338,0.044315338
304,Tianjin,January,0.0065432265,0.0032716133,0.0032716133
305,Tianjin,July,7.790753,3.8953764,3.8953764
306,Tianjin,June,6.005755,3.0028775,3.0028775
307,Tianjin,March,0.762018,0.381009,0.381009
308,Tianjin,May,2.0054018,1.0027009,1.0027009
309,Tianjin,November,1.3508465,0.67542326,0.67542326
310,Tianjin,October,0.7358973,0.36794865,0.36794865
311,Tianjin,September,1.9415975,0.97079873,0.97079873
312,Xinjiang,April,188.62894,0.6595417,2.709231
313,Xinjiang,August,260.19827,0.9097842,4.753428
314,Xinjiang,December,55.574097,0.19431502,1.4793832
315,Xinjiang,February,78.3852,0.27407414,1.2578348
